epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,33.03,1.57461,2.61233,0.00193,0.95182,0.21326,0.26615,0.15394,1.38636,1.3095,0.00175,0.000411111,0.000411111,0.000411111
2,61.304,1.52184,1.13718,0.00184,0.44743,0.49142,0.44027,0.24505,1.4478,0.92087,0.00192,0.000819583,0.000819583,0.000819583
3,81.5285,1.48954,0.93363,0.00175,0.62419,0.66022,0.62015,0.34369,1.3335,0.75052,0.00162,0.0012198,0.0012198,0.0012198
4,98.9147,1.55149,0.81671,0.00186,0.7315,0.6703,0.68534,0.34504,1.49161,0.68638,0.00175,0.00121287,0.00121287,0.00121287
5,116.478,1.56893,0.74867,0.00182,0.74835,0.66885,0.66295,0.32744,1.6581,0.74601,0.00223,0.0012005,0.0012005,0.0012005
6,134.966,1.49485,0.71312,0.00174,0.76957,0.68108,0.73402,0.41357,1.27238,0.58999,0.00157,0.00118812,0.00118812,0.00118812
7,158.411,1.47527,0.69867,0.00172,0.68445,0.64409,0.70211,0.39275,1.31067,0.58618,0.00166,0.00117575,0.00117575,0.00117575
8,177.72,1.42672,0.64598,0.00172,0.79832,0.70371,0.76676,0.45679,1.24194,0.4963,0.00157,0.00116337,0.00116337,0.00116337
9,196.044,1.39772,0.57946,0.00156,0.74099,0.7032,0.76578,0.45731,1.25849,0.49411,0.00162,0.001151,0.001151,0.001151
10,213.446,1.42239,0.56662,0.00168,0.74063,0.77165,0.77997,0.45251,1.37042,0.49605,0.00179,0.00113863,0.00113863,0.00113863
11,230.882,1.42054,0.55953,0.00169,0.82984,0.7632,0.7995,0.46062,1.33019,0.47614,0.00162,0.00112625,0.00112625,0.00112625
12,249.617,1.54864,0.54811,0.00176,0.84513,0.74243,0.80451,0.45915,1.32087,0.45676,0.00172,0.00111388,0.00111388,0.00111388
13,267.141,1.36625,0.49859,0.00165,0.82559,0.77841,0.81654,0.49584,1.23359,0.44559,0.00149,0.0011015,0.0011015,0.0011015
14,284.903,1.32723,0.49352,0.00151,0.88048,0.78621,0.83606,0.48377,1.32862,0.46435,0.00155,0.00108913,0.00108913,0.00108913
15,302.408,1.45959,0.51697,0.00151,0.87757,0.7604,0.83055,0.48848,1.28704,0.44033,0.00169,0.00107675,0.00107675,0.00107675
16,320.184,1.35367,0.4923,0.00149,0.84744,0.75709,0.81358,0.50391,1.19263,0.42292,0.00142,0.00106437,0.00106437,0.00106437
17,337.803,1.2878,0.46865,0.00147,0.80972,0.80777,0.83962,0.5131,1.22785,0.44859,0.00154,0.001052,0.001052,0.001052
18,355.26,1.28754,0.47076,0.00144,0.91132,0.7416,0.84018,0.51375,1.20081,0.40323,0.00154,0.00103962,0.00103962,0.00103962
19,372.814,1.28165,0.47461,0.00138,0.8517,0.7878,0.82888,0.50921,1.1831,0.4026,0.00142,0.00102725,0.00102725,0.00102725
20,391.154,1.28429,0.46326,0.00145,0.88283,0.79204,0.85903,0.52158,1.21374,0.39453,0.00149,0.00101488,0.00101488,0.00101488
21,409.607,1.24195,0.44189,0.0014,0.80609,0.79358,0.84545,0.52188,1.21629,0.41742,0.00152,0.0010025,0.0010025,0.0010025
22,427.682,1.3013,0.44821,0.00139,0.87943,0.78893,0.84882,0.51766,1.20818,0.39719,0.00147,0.000990125,0.000990125,0.000990125
23,446.588,1.24969,0.44264,0.00142,0.87956,0.78408,0.83856,0.51087,1.18787,0.39983,0.00146,0.00097775,0.00097775,0.00097775
24,464.27,1.34283,0.46106,0.00144,0.84772,0.79076,0.85687,0.52094,1.22824,0.41768,0.00146,0.000965375,0.000965375,0.000965375
25,481.667,1.26658,0.43695,0.0014,0.86574,0.80345,0.86056,0.53938,1.14463,0.38882,0.00138,0.000953,0.000953,0.000953
26,499.306,1.27758,0.42808,0.00137,0.89199,0.80802,0.85962,0.54393,1.18952,0.38312,0.00145,0.000940625,0.000940625,0.000940625
27,516.559,1.24213,0.41254,0.00141,0.8764,0.79984,0.85472,0.53007,1.19175,0.38065,0.0014,0.00092825,0.00092825,0.00092825
28,535.605,1.23431,0.41072,0.00128,0.92884,0.78015,0.86785,0.53212,1.14582,0.37701,0.00135,0.000915875,0.000915875,0.000915875
29,552.948,1.23498,0.40547,0.00131,0.88018,0.79524,0.85819,0.55197,1.12557,0.36426,0.00134,0.0009035,0.0009035,0.0009035
30,571.869,1.22528,0.40239,0.00131,0.84358,0.80257,0.84641,0.53952,1.14125,0.37083,0.00135,0.000891125,0.000891125,0.000891125
31,589.104,1.18054,0.38172,0.00128,0.85557,0.82189,0.85787,0.54391,1.16979,0.36989,0.00141,0.00087875,0.00087875,0.00087875
32,606.141,1.25892,0.40066,0.00134,0.9536,0.77165,0.86331,0.53425,1.204,0.37096,0.00145,0.000866375,0.000866375,0.000866375
33,623.241,1.24149,0.40034,0.00127,0.92499,0.78338,0.85763,0.56065,1.1171,0.357,0.00133,0.000854,0.000854,0.000854
34,640.47,1.19582,0.37847,0.00127,0.90558,0.82516,0.87554,0.54792,1.15969,0.3618,0.00138,0.000841625,0.000841625,0.000841625
35,657.529,1.23204,0.40139,0.00139,0.9057,0.79565,0.86076,0.53157,1.162,0.37453,0.00139,0.00082925,0.00082925,0.00082925
36,674.931,1.19845,0.38273,0.00127,0.8915,0.79166,0.8521,0.53813,1.11998,0.36005,0.00133,0.000816875,0.000816875,0.000816875
37,691.892,1.18682,0.38132,0.00128,0.90447,0.80247,0.86666,0.54611,1.16936,0.35944,0.00147,0.0008045,0.0008045,0.0008045
38,709.156,1.21777,0.38922,0.00138,0.89904,0.81625,0.8604,0.54858,1.1504,0.35952,0.00136,0.000792125,0.000792125,0.000792125
39,726.281,1.19663,0.38147,0.00123,0.8673,0.82354,0.86731,0.55301,1.11741,0.3455,0.00131,0.00077975,0.00077975,0.00077975
40,744.18,1.16123,0.36111,0.00123,0.94131,0.79273,0.87156,0.56238,1.12472,0.34485,0.00132,0.000767375,0.000767375,0.000767375
41,761.566,1.1768,0.37306,0.00125,0.92634,0.80725,0.86094,0.55037,1.12642,0.34217,0.00136,0.000755,0.000755,0.000755
42,778.689,1.16178,0.36212,0.00125,0.95799,0.78255,0.85936,0.5479,1.11406,0.34681,0.00135,0.000742625,0.000742625,0.000742625
43,796.096,1.17142,0.36363,0.00121,0.90069,0.83674,0.87362,0.56622,1.10785,0.3476,0.00132,0.00073025,0.00073025,0.00073025
44,814.911,1.15565,0.35535,0.00122,0.90572,0.8243,0.86702,0.5605,1.11282,0.3492,0.00132,0.000717875,0.000717875,0.000717875
45,832.311,1.20203,0.38268,0.00122,0.92951,0.82517,0.86791,0.56038,1.1107,0.34302,0.00132,0.0007055,0.0007055,0.0007055
46,856.822,1.21906,0.37564,0.00123,0.92286,0.81029,0.87113,0.55777,1.15553,0.35226,0.00137,0.000693125,0.000693125,0.000693125
47,882.034,1.13955,0.35644,0.00123,0.93094,0.819,0.87015,0.56437,1.096,0.34349,0.00129,0.00068075,0.00068075,0.00068075
48,899.299,1.16404,0.36524,0.00123,0.93201,0.81135,0.86958,0.56222,1.1019,0.34181,0.00134,0.000668375,0.000668375,0.000668375
49,919.913,1.12815,0.35016,0.00118,0.93889,0.81399,0.87681,0.5631,1.11111,0.34308,0.00132,0.000656,0.000656,0.000656
50,939.81,1.12114,0.34833,0.00124,0.92355,0.82772,0.87519,0.56408,1.09467,0.34179,0.0013,0.000643625,0.000643625,0.000643625
